place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu,above_trend
"""0107000""","""Birmingham""","""Birmingham-Hoover, AL""",213.52,216278.57,91157.64,93464.36,45.0,52.0,42.0,22.0,28.0,20.0,23.0,24.0,21.0,7.26,17.32,1.58,1.0,2.0,19635.0,17437.0,20214.0,1.0,1.0,1.0,11162.0,9578.0,11526.0,8581.0,7284.0,8870.0,2571.0,2284.0,2647.0,10.0,10.0,9.0,13.0,14.0,13.0,5.0,8.0,3.55,0.98,14918.0,61.0,28118.0,87.0,11.0,134.0,1195,917.0,893.0,734.0,49.0,51.0,0
"""0137000""","""Huntsville""","""Huntsville, AL""",126.2,184263.9,77188.36,136319.15,45.0,53.0,47.0,22.0,28.0,23.0,22.0,25.0,23.0,8.5,12.03,1.78,2.0,2.0,21381.0,19028.0,21823.0,1.0,1.0,1.0,12481.0,11187.0,12632.0,9673.0,8687.0,9766.0,2800.0,2492.0,2858.0,8.0,8.0,9.0,11.0,11.0,12.0,3.6,4.0,3.73,0.57,10076.0,67.0,16129.0,88.0,15.0,87.0,1387,1043.0,1049.0,790.0,59.0,41.0,0
"""0150000""","""Mobile""","""Mobile, AL""",157.6,201383.83,78583.44,89182.34,54.0,63.0,45.0,28.0,35.0,23.0,26.0,28.0,23.0,8.04,14.17,1.63,1.0,2.0,20193.0,18072.0,20931.0,2.0,2.0,2.0,11518.0,9838.0,12125.0,8851.0,7444.0,9364.0,2644.0,2367.0,2741.0,23.0,26.0,21.0,29.0,32.0,26.0,4.8,6.4,4.31,0.88,12429.0,69.0,17094.0,87.0,11.0,154.0,1170,1025.0,1128.0,763.0,57.0,43.0,0
"""0151000""","""Montgomery""","""Montgomery, AL""",170.56,196459.59,77421.65,102186.2,51.0,59.0,45.0,26.0,32.0,22.0,25.0,27.0,23.0,8.45,14.81,1.64,1.0,2.0,21166.0,19111.0,21879.0,1.0,2.0,1.0,11732.0,10022.0,12266.0,8947.0,7501.0,9388.0,2772.0,2503.0,2865.0,13.0,18.0,12.0,15.0,19.0,14.0,3.8,6.8,2.16,0.76,11265.0,70.0,15300.0,87.0,29.0,58.0,2099,1004.0,990.0,724.0,56.0,44.0,0
"""0203000""","""Anchorage""","""Anchorage, AK""",214.0,299107.0,105175.0,1092289.65,45.0,54.0,61.0,27.0,33.0,38.0,19.0,21.0,23.0,9.24,26.14,1.86,2.0,2.0,22213.0,19660.0,20723.0,4.0,3.0,4.0,14302.0,12720.0,12627.0,10620.0,9469.0,9192.0,3563.0,3154.0,3323.0,118.0,98.0,112.0,69.0,57.0,65.0,1.5,6.8,0.95,0.1,12194.0,49.0,22502.0,87.0,96.0,7.0,7731,1702.0,1648.0,1173.0,60.0,40.0,0
"""0412000""","""Chandler""","""Phoenix-Mesa-Scottsdale, AZ""",145.58,246588.75,87608.9,41453.51,56.0,67.0,56.0,32.0,40.0,32.0,24.0,27.0,24.0,8.96,26.37,1.78,2.0,2.0,20488.0,18115.0,20314.0,3.0,3.0,3.0,12991.0,11575.0,12913.0,9695.0,8659.0,9645.0,3285.0,2905.0,3257.0,11.0,11.0,10.0,12.0,12.0,12.0,5.1,4.6,6.4,2.11,24977.0,71.0,29121.0,90.0,12.0,161.0,1187,1421.0,1409.0,1156.0,62.0,38.0,1
"""0427400""","""Gilbert""","""Phoenix-Mesa-Scottsdale, AZ""",111.5,225567.19,71945.15,43515.36,60.0,72.0,60.0,35.0,43.0,35.0,26.0,29.0,26.0,10.02,24.04,1.91,2.0,2.0,21942.0,19445.0,21754.0,2.0,2.0,2.0,13899.0,12459.0,13817.0,10374.0,9334.0,10322.0,3519.0,3118.0,3488.0,7.0,7.0,7.0,8.0,8.0,7.0,3.8,2.7,3.72,1.65,22628.0,86.0,20678.0,90.0,14.0,137.0,1187,1551.0,1583.0,1301.0,72.0,28.0,1
"""0427820""","""Glendale""","""Phoenix-Mesa-Scottsdale, AZ""",160.56,233728.94,78563.3,37917.9,49.0,57.0,48.0,25.0,32.0,25.0,23.0,26.0,23.0,8.06,28.4,1.74,2.0,2.0,19235.0,17015.0,19082.0,5.0,5.0,5.0,12548.0,11116.0,12463.0,9446.0,8370.0,9386.0,3084.0,2728.0,3060.0,17.0,18.0,17.0,19.0,20.0,19.0,5.5,4.5,13.27,2.07,31707.0,63.0,29645.0,91.0,10.0,158.0,1112,1135.0,1094.0,934.0,56.0,44.0,0
"""0446000""","""Mesa""","""Phoenix-Mesa-Scottsdale, AZ""",281.83,456756.78,168755.62,88233.77,49.0,58.0,48.0,26.0,32.0,26.0,23.0,26.0,23.0,7.72,25.43,1.71,2.0,2.0,19447.0,17036.0,19261.0,6.0,5.0,5.0,12451.0,11044.0,12370.0,9313.0,8293.0,9262.0,3118.0,2732.0,3089.0,20.0,19.0,19.0,22.0,22.0,22.0,5.1,5.0,4.99,1.91,27702.0,55.0,27295.0,90.0,10.0,154.0,1259,1157.0,1127.0,982.0,60.0,40.0,0
"""0454050""","""Peoria""","""Phoenix-Mesa-Scottsdale, AZ,Prescott, AZ""",102.31,160598.75,57215.54,112348.67,56.0,66.0,55.0,30.0,38.0,30.0,25.0,28.0,25.0,9.02,22.84,1.85,2.0,2.0,21677.0,19086.0,21475.0,2.0,2.0,2.0,13577.0,12181.0,13503.0,10093.0,9112.0,10051.0,3476.0,3061.0,3444.0,9.0,8.0,9.0,10.0,9.0,10.0,1.5,3.8,2.09,0.51,24060.0,76.0,18722.0,89.0,18.0,42.0,2536,1364.0,1346.0,1071.0,71.0,29.0,1
