Name,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles,Deadhead Miles Questionable,Vehicle Hours,Vehicle Hours Questionable,"Vehicle 
Revenue 
Hours",Vehicle Revenue Hours Questionable,Deadhead Hours,Deadhead Hours Questionable,Train Miles,Train Miles Questionable,"Train 
Revenue
Miles",Train Revenue Miles Questionable,Train Hours,Train Hours Questionable,"Train 
Revenue 
Hours",Train Revenue Hours Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Passenger Miles,Passenger Miles Questionable,Directional Route Miles,Directional Route Miles Questionable,Any data questionable
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10936,MB,DO,3257,,0,,7.0479,,2.099,,56.6559,,85199920,,98326271,,85993623,,12332648,,13956794,,12201259,,1755535,,0,,0,,0,,0,,691273010,,1450951265,,1760.04,,No
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10936,HR,DO,5342,,582,,18.2244,,3.9577,,140.7739,,375105834,,360432838,,349479185,,10953653,,20201171,,19176403,,1024768,,39619061,,38399138,,2219610,,2107003,,2699537600,,10683847750,,493.68,,No
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10936,DR,PT,1738,,0,,9.5656,,9.0819,,1.2702,,0,,53544203,,43598150,,9946053,,5520143,,4557799,,962344,,0,,0,,0,,0,,5789381,,52578548,,0,,No
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10936,CB,DO,453,,0,,15.6291,,12.5686,,21.4149,,8850905,,15221624,,9040353,,6181271,,971503,,578430,,393073,,0,,0,,0,,0,,12387027,,155687450,,357.06,,No
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10936,RB,DO,146,,0,,6.5501,,1.8471,,60.0043,,3218933,,3669188,,3455644,,213544,,560251,,527568,,32683,,0,,0,,0,,0,,31656362,,58472429,,64.63,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,LR,DO,14,,14,,9.8163,,2.2378,,107.2993,,517339,,516760,,506091,,10669,,57883,,51556,,6327,,516760,,506091,,57883,,51556,,5531921,,12379497,,12.42,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,MB,PT,180,,0,,11.8644,,4.0365,,17.2543,,7315390,,8304236,,7270944,,1033292,,741863,,612835,,129028,,0,,0,,0,,0,,10574069,,42682026,,676,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,DR,PT,528,,0,,16.6712,,6.1478,,1.7497,,0,,18327886,,15341120,,2986766,,1087736,,920219,,167517,,0,,0,,0,,0,,1610072,,9898392,,0,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,MB,DO,1853,,0,,14.2297,,7.739,,28.5682,,71780635,,93549085,,71664794,,21884291,,6075145,,5036295,,1038850,,0,,0,,0,,0,,143878120,,1113473813,,5592.3,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,YR,PT,17,,12,,25.4694,,14.6397,,54.2849,,1262142,,1300869,,1272963,,27906,,53493,,49980,,3513,,1018944,,1018944,,40276,,40276,,2713160,,39719834,,69.7,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,CR,DO,1184,,134,,32.6643,,23.4489,,47.0797,,61760512,,65049344,,61456337,,3593007,,2232661,,1881455,,351206,,9602851,,9063787,,328367,,281792,,88578277,,2077067508,,1001.8,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,LR,PT,42,,20,,16.9904,,3.9044,,125.622,,1955714,,2157133,,2093179,,63954,,125006,,123198,,1808,,1285693,,1245317,,74897,,72112,,15476385,,60426164,,34.08,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,VP,PT,195,,0,,43.5692,,37.7101,,7.0459,,0,,4495514,,4495514,,0,,103181,,103181,,0,,0,,0,,0,,0,,727002,,27415332,,0,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,MB,DO,1750,,0,,10.4921,,4.0275,,42.5014,,67129024,,79435397,,66448233,,12987164,,6910009,,6333193,,576816,,0,,0,,0,,0,,269169596,,1084089074,,3095.67,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,VP,PT,1340,,0,,40.944,,44.7872,,5.0065,,0,,30723839,,30723839,,0,,750387,,750387,,0,,0,,0,,0,,0,,3756783,,168255674,,0,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,LR,DO,181,,74,,21.1511,,7.3125,,85.8313,,16842260,,17344147,,16699100,,645047,,841301,,789513,,51788,,7493023,,7214353,,357098,,334981,,67764920,,495532352,,171.92,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,RB,DO,33,,0,,16.0062,,6.5607,,61.2754,,1985468,,2057667,,1971687,,85980,,128882,,123183,,5699,,0,,0,,0,,0,,7548090,,49520717,,37.17,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,HR,DO,68,,13,,21.8236,,5.0003,,142.0515,,7035828,,7180486,,7010664,,169822,,339844,,321242,,18602,,1406043,,1373862,,67932,,64376,,45632924,,228179477,,31.9,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,MB,PT,133,,0,,11.9238,,4.7211,,27.7407,,5733450,,6970810,,5708735,,1262075,,527455,,478769,,48686,,0,,0,,0,,0,,13281369,,62702742,,618.58,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,TB,DO,140,,0,,6.7549,,1.8845,,41.7292,,3987215,,3282487,,3130521,,151966,,482638,,463444,,19194,,0,,0,,0,,0,,19339147,,36445193,,116.86,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,FB,DO,2,,0,,9.9759,,4.9872,,122.7402,,49148,,48762,,48762,,0,,4888,,4888,,0,,0,,0,,0,,0,,599954,,2992092,,24,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,SR,DO,8,,8,,4.8116,,1.0981,,35.1913,,219796,,197192,,193810,,3382,,41629,,40280,,1349,,197192,,193809,,41629,,40280,,1417507,,1556551,,7.85,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,DT,PT,52,,0,,36.0854,,15.6627,,2.6553,,0,,0,,1411445,,0,,0,,39114,,0,,0,,0,,0,,0,,103861,,1626743,,0,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,MB,PT,29,,0,,13.2702,,3.8331,,12.1516,,965284,,1203342,,964917,,238425,,82250,,72713,,9537,,0,,0,,0,,0,,883578,,3386876,,345,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,VP,DO,1617,,0,,26.9845,,18.1602,,6.4382,,0,,15199378,,15199378,,0,,563263,,563263,,0,,0,,0,,0,,0,,3626422,,65856719,,0,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,DR,PT,320,,0,,12.2818,,10.0103,,1.3446,,0,,9322733,,7802103,,1520630,,733952,,635259,,98693,,0,,0,,0,,0,,854155,,8550338,,0,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,MB,DO,986,,0,,11.0435,,4.7478,,33.994,,33249182,,41850492,,32853414,,8997078,,3392311,,2974921,,417390,,0,,0,,0,,0,,101129569,,480141778,,2357.13,,No
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770,3129,HR,DO,954,,143,,24.4279,,5.8412,,70.7636,,87700942,,81717802,,78379605,,3338197,,3390718,,3208614,,182104,,12859523,,12338022,,533580,,521502,,227053037,,1326262650,,234.2,,No
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770,3129,DT,PT,252,,0,,22.0707,,15.4536,,1.5578,,0,,0,,2215257,,0,,0,,100371,,0,,0,,0,,0,,0,,156356,,2416262,,0,,No
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770,3129,DR,PT,633,,0,,9.8651,,9.2,,1.1417,,0,,22491678,,19114755,,3376923,,2210573,,1937617,,272956,,0,,0,,0,,0,,2212193,,20352131,,0,,No
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770,3129,MB,DO,1290,,0,,10.1359,,2.9971,,31.1784,,40260314,,51112693,,40026923,,11085770,,4588906,,3949021,,639885,,0,,0,,0,,0,,123124352,,369020804,,2099.98,,No
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,2719,MB,DO,1579,,0,,9.0589,,2.4597,,43.1774,,52473138,,57867087,,52290416,,5576671,,6192762,,5772259,,420503,,0,,0,,0,,0,,249231171,,613043935,,1540.27,,No
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,2719,HR,DO,1140,,155,,18.0009,,5.9036,,56.2933,,73823660,,74542490,,73612276,,930214,,4443894,,4089367,,354527,,12153973,,12013322,,737405,,677161,,230204047,,1359029663,,207.84,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,MB,DO,767,,0,,9.8028,,2.6076,,47.7074,,21934189,,24600032,,21669220,,2930812,,2442071,,2210516,,231555,,0,,0,,0,,0,,105457861,,274990173,,1509.41,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,TB,DO,22,,0,,9.249,,2.2928,,43.045,,433948,,435834,,427322,,8512,,49018,,46202,,2816,,0,,0,,0,,0,,1988765,,4559747,,21.58,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,FB,PT,9,,0,,9.852,,11.1246,,64.5731,,236820,,230205,,227257,,2948,,23761,,23067,,694,,0,,0,,0,,0,,1489508,,16570127,,38.42,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,RB,DO,30,,0,,8.475,,1.8878,,83.9161,,1082031,,1085932,,1064286,,21646,,127407,,125579,,1828,,0,,0,,0,,0,,10538096,,19893655,,10.38,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,DR,PT,689,,0,,13.0826,,8.6025,,1.47,,0,,21055863,,17667292,,3388571,,1794990,,1350443,,444547,,0,,0,,0,,0,,1985115,,17077017,,0,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,LR,DO,156,,81,,8.855,,2.5522,,93.202,,6311155,,5935770,,5918680,,17090,,670239,,668402,,1837,,3439582,,3434596,,393165,,388003,,62296430,,158992398,,51,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,MB,PT,8,,0,,12.5107,,2.1024,,28.5615,,391483,,404516,,380300,,24216,,32265,,30398,,1867,,0,,0,,0,,0,,868211,,1825365,,80,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,CR,PT,436,,67,,31.1724,,20.55,,42.4821,,24857003,,25645356,,24911491,,733865,,819943,,799152,,20791,,4841871,,4702929,,154858,,150841,,33949637,,697665040,,776.08,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,HR,DO,336,,56,,15.3484,,3.3987,,106.5679,,24092538,,24234457,,23634793,,599664,,1612006,,1539889,,72117,,4039076,,3939132,,268668,,256648,,164102709,,557734891,,76.3,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,MB,DO,1187,,0,,9.932,,3.2595,,41.0805,,39682264,,45037321,,39448920,,5588401,,4368690,,3971902,,396788,,0,,0,,0,,0,,163167788,,531848827,,2503.1,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,HR,DO,286,,61,,18.5384,,3.6734,,103.5965,,16810800,,16970071,,16799585,,170486,,915775,,906207,,9568,,3268737,,3235681,,176398,,174568,,93879889,,344859706,,74.9,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,TB,DO,30,,0,,8.3868,,1.9616,,63.9141,,857473,,826282,,809765,,16517,,98402,,96552,,1850,,0,,0,,0,,0,,6171031,,12105313,,30.56,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,DR,PT,394,,0,,10.4488,,7.1421,,1.5924,,0,,13298905,,11184357,,2114548,,1238507,,1070395,,168112,,0,,0,,0,,0,,1704463,,12173363,,0,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,SR,DO,122,,122,,8.5831,,2.4164,,71.3556,,3470548,,3316853,,3193515,,123338,,386600,,372070,,14530,,3316853,,3193515,,386600,,372070,,26549260,,64152704,,82.93,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,MB,PT,6,,0,,16.4584,,5.7901,W,6.7461,,166934,,218075,,166575,,51500,,12536,,10121,,2415,,0,,0,,0,,0,,68277,,395329,W,21.6,,Yes
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,CR,DO,350,,80,,21.1981,,12.8326,,36.1956,,19530218,,20508286,,19449298,,1058988,,962833,,917500,,45333,,5273736,,5010432,,247495,,236219,,33209489,,426163583,,446.94,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,DR,PT,327,,0,,15.8232,,11.0992,,1.6138,,0,,20244725,,16371554,,3873171,,1192025,,1034654,,157371,,0,,0,,0,,0,,1669729,,18532714,,0,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,MB,DO,591,,0,,12.1763,,5.107,,20.7467,,29075275,,32852101,,28756452,,4095649,,2525132,,2361682,,163450,,0,,0,,0,,0,,48997160,,250226338,,2430.17,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,CB,PT,64,,0,,28.0464,,20.0401,,24.5332,,2088546,,2856990,,2071004,,785986,,100709,,73842,,26867,,0,,0,,0,,0,,1811583,,36304252,,284.32,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,LR,DO,54,,33,,11.6017,,2.7982,,63.8215,,3389002,,3343331,,3330168,,13163,,289243,,287042,,2201,,2089278,,2076115,,196882,,194682,,18319444,,51261219,,43.59,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,VP,PT,604,,0,,36.5822,,30.1794,,8.4827,,0,,8460910,,8460910,,0,,231285,,231285,,0,,0,,0,,0,,0,,1961928,,59209797,,0,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,CB,DO,246,,0,,24.8999,,18.5911,,23.885,,6327259,,8355041,,6329043,,2025998,,331321,,254179,,77142,,0,,0,,0,,0,,6071063,,112867945,,599.24,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,DT,PT,134,,0,,29.7616,,10.6576,,3.3209,,0,,0,,2192243,,0,,0,,73660,,0,,0,,0,,0,,0,,244616,,2607009,,0,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,MB,PT,101,,0,,12.0656,,3.9043,,18.7698,,5896621,,6694897,,5819829,,875068,,516835,,482350,,34485,,0,,0,,0,,0,,9053603,,35347719,,1158.89,,No
Puerto Rico Highway and Transportation Authority - Público,San Juan,PR,4105,40105,State Government Unit or Department of Transportation,Full Reporter,2148346,1726,PB,PT,1726,,0,,10.8927,,4.1446,,11.8296,,0,,21040590,,18006357,,3034233,,1932549,,1653064,,279485,,0,,0,,0,,0,,19555033,,81048151,,0,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,DR,DO,8,,0,,8.2781,,7.4032,,1.3743,,0,,34441,,27980,,6461,,4080,,3380,,700,,0,,0,,0,,0,,4645,,34388,,0,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,HR,DO,54,,9,,26.4369,,4.7434,,60.9128,,4610122,,4793109,,4536624,,256485,,184799,,171602,,13197,,1134704,,1070675,,42795,,37747,,10452750,,49581700,,29.4,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,CR,PT,147,,25,,38.2108,,29.5691,,54.2201,,6998292,,6924792,,6494190,,430602,,179744,,169957,,9787,,1297422,,1227566,,34417,,32862,,9215084,,272481938,,400.4,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,DT,PT,38,,0,,17.0093,,5.33,,4.2124,,0,,0,,2830513,,0,,0,,166410,,0,,0,,0,,0,,0,,700989,,3736277,,0,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,MB,DO,604,,0,,11.3558,,3.8727,,40.0927,,20779409,,22740872,,19808157,,2932715,,1904044,,1744315,,159729,,0,,0,,0,,0,,69934287,,270836888,,1182.8,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,CB,PT,280,,0,,28.0202,,44.3638,,17.0128,,6583607,,6590328,,6373747,,216581,,234230,,227470,,6760,,0,,0,,0,,0,,3869911,,171683870,,1328,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,DR,PT,511,,0,,13.0337,,9.9082,,1.4355,,0,,21734334,,18597991,,3136343,,1644880,,1426913,,217967,,0,,0,,0,,0,,2048276,,20294804,,0,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,LR,DO,38,,18,,18.7303,,6.5814,,46.7857,,3279931,,2973806,,2940690,,33116,,160975,,157002,,3973,,1620616,,1601615,,89738,,87951,,7345442,,48343150,,57.6,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1582,DR,PT,253,,0,,14.3237,,6.9958,,3.2604,,0,,4705358,,3991819,,713539,,323216,,278686,,44530,,0,,0,,0,,0,,908629,,6356594,,0,,No
