Last Report Year,NTD ID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,DR,PT,Operating,2907248,3836276,5531613,11854660,11033321,19647893,28721065,32264403,36157343,37146156,41709800,41603378,43530523,44555726,47914047,50611056,47932638,52752281,51134908,56008586,58445201,60039963,61423955,61689952,60602865,58765608,63879758
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,705160,639844,829933,1300039,983694,1204545,1344084,1220979
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,5091238,5909413
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,LR,DO,Discontinued,779814,1270213,1352836,1166862,861166,1238339,1115987,1140960,1261640,1346339,1340558,1373224,1421503,1426751,2071123,,,2459635,2366620,2281393,0,0,,0,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,LR,PT,Separate,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,MB,DO,Operating,100229190,164800746,176406749,176286121,177818831,188275605,204535855,217825456,240067671,243983571,253523107,279791558,294146010,309420258,293776827,319877720,344920214,373901082,373438207,379189938,380943261,422304218,431308402,440585761,445920339,468335938,517526931
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,MB,PT,Operating,2045067,2524014,2340775,2828396,4232482,2340867,,,,,,,,,0,0,5676503,5885935,6296965,7659725,7809151,7839817,8923754,8858232,8353828,9226895,8071455
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,RB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,11725035,0,,0,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,SR,DO,Operating,,,,,,,,,,,,,,,,,,,,,2396642,2794211,3089936,2941721,2825029,8986612,9738639
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,TB,DO,Operating,18531075,31608198,33586811,33952039,36039336,37177884,34908243,39218165,42412329,42995545,43968966,40746738,42331347,42675704,50869418,53012393,53466930,54878861,55870673,58164044,56729940,57312083,61469418,62894783,63266748,64943077,70853735
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,VP,DO,Operating,2246924,5376267,6538201,6972793,7120791,5797353,6281161,6039933,6842087,6926133,7389338,7311389,7299846,7234031,6701931,7625484,8231535,9751345,8973302,9101324,9956768,10639894,10658554,10289041,8916088,9042386,9713077
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,387847,Existing 2017,DR,DO,Operating,2258880,3127350,3399815,3656557,4057757,4358569,4646185,4518506,4575515,4767173,4970625,5446386,5439547,5490285,6105251,6538526,7081197,7783038,7595675,8019464,7910970,8411171,8277213,8754720,9042206,8740113,9298334
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,387847,Existing 2017,DR,PT,Operating,713512,799975,952904,1313146,1827190,1936642,2106150,2101677,2424081,2469024,2618923,2719221,2885808,2935655,3140655,3415685,3809131,4178794,4047938,4215627,3693431,3677353,3767253,3871894,3827152,4027458,4374072
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,387847,Existing 2017,MB,DO,Operating,16459738,20040902,21065138,21731478,23886907,24334268,25242351,25411561,25939566,24931229,25600378,27078807,26796773,27336673,31604725,35215046,37305903,43194327,41537202,43709912,43296209,43292761,44182679,45605199,46841435,45917132,49460108
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,387847,Existing 2017,VP,DO,Operating,71954,102273,128740,142676,135218,113485,112612,120240,110550,138216,148733,201213,182050,220890,285405,449168,485341,633398,598008,649500,730312,816351,821151,868355,700643,654275,611768
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,DR,DO,Operating,3044667,3806904,4092096,4777820,5111750,5654743,5616586,5542067,6006219,3834140,3861907,4444827,4327889,4689446,4864946,4945342,5418818,6402645,6666343,6086477,6290850,5971093,5995486,6363005,6278666,6753090,7092689
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,DR,PT,Operating,2847543,2777433,3926269,4872388,5226271,4382437,4770572,5389348,5953953,7244634,6784201,6739634,6836841,8057307,7463182,8938581,10388687,11234591,11140209,11511162,12223083,11258286,10614230,11192289,11069043,11169146,11520226
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,MB,DO,Operating,26058862,26261834,26570959,30286363,31627742,31961565,35003984,37408000,41492536,39825674,43950764,49109629,54658105,59821695,50352443,54366276,61082330,69340588,67983187,70530435,67255139,57089544,49166871,53565963,56495424,63778532,68179163
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,MB,PT,Discontinued,1773087,2160361,2262045,1426942,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,,,
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,VP,DO,Operating,133204,205086,286868,539843,620207,776878,856232,1704990,2035823,1799402,1794139,2168332,2562112,2919760,2807307,3026575,3608617,4289260,4097790,4315981,4634786,4297219,4139555,4315559,4182296,4355729,4599679
