Last Report Year,NTD ID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,DR,PT,Operating,0,0,154358,195636,235404,271635,538486,560852,595491,591700,618971,608205,610993,630168,691108,708970,634886,686189,657222,672216,686650,663829,671393,620175,541381,585957,635259
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,20232,18768,18588,25150,30560,43515,43545,39114
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,5092,4888
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,LR,DO,Discontinued,11231,11663,11389,11389,6144,11237,11668,11223,11764,11809,11659,11537,11130,11136,10086,,,11399,11207,11178,0,0,,0,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,LR,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,MB,DO,Operating,1441815,1509623,1528315,1543560,2018294,2085572,2212369,2333490,2465080,2401601,2469948,2602247,2641815,2408999,2441720,2535732,2597328,2594575,2550833,2601102,2537247,2685339,2679291,2674714,2727991,2912539,2974921
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,MB,PT,Operating,76534,94354,78086,71713,87218,51628,,,,,,,,,,,68269,68476,71947,78012,76257,82976,81962,84321,78165,83266,72713
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,RB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,73632,0,,0,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,SR,DO,Operating,,,,,,,,,,,,,,,,,,,,,11508,11736,11905,12154,12130,39471,40280
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,TB,DO,Operating,336854,346622,350100,351427,442273,451328,470291,503003,509979,509180,504746,448168,462287,367525,439985,432102,418101,421901,513091,431474,418788,396779,416118,414662,410032,450367,463444
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,VP,DO,Operating,138372,177735,231768,238940,221520,228020,249860,262070,277991,269244,281083,265198,250266,246316,268006,296229,308511,345169,347215,294929,334972,381957,388170,499955,512680,542569,563263
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,387847,Existing 2017,DR,DO,Operating,77818,88263,96476,97993,101589,93601,91310,89671,84796,86281,89814,93638,95167,89156,87625,89590,88894,91129,90765,84769,84439,85246,82630,81138,80123,76807,82066
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,387847,Existing 2017,DR,PT,Operating,26634,28972,32512,42144,57625,55824,58868,55273,64712,62533,63751,62345,64254,69335,71119,77719,83882,87830,84316,87975,81824,78233,80592,79365,81267,85626,85599
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,387847,Existing 2017,MB,DO,Operating,339595,345550,352549,355890,369756,371431,374718,377509,375175,356977,336401,348675,351239,354985,369494,402533,406008,414751,418247,414364,397204,381167,383357,392087,395972,397122,405164
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,387847,Existing 2017,VP,DO,Operating,3798,5242,6188,8139,7219,7733,8414,9110,7165,6531,8221,8881,10334,9938,15157,17462,18720,24267,23703,24198,27304,33220,34313,36651,33434,31196,29470
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,DR,DO,Operating,47292,54495,54705,62065,61887,59013,52564,61782,51000,49784,48768,48507,52578,51679,50845,50001,49261,51841,52804,52062,49224,42118,46827,46827,46407,47024,45749
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,DR,PT,Operating,69231,70636,101674,120900,157987,114066,88994,123065,135740,140530,100929,105772,102559,104248,109507,135268,150188,152242,159516,149797,143176,128179,117829,119618,120544,116315,111765
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,MB,DO,Operating,421043,398492,390799,431906,461612,462211,476554,502095,565078,527689,552665,584872,652063,662245,530807,546334,570819,600860,586260,563093,451502,377976,373701,385007,388736,399839,428267
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,MB,PT,Discontinued,23031,25232,24774,11440,,,,,,,,,,,,,,,,,0,0,,0,,,
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,VP,DO,Operating,4500,13000,21000,25500,27020,28000,36250,43750,47750,58500,69000,68750,82956,99500,103157,120053,143932,147610,134966,137821,140533,140411,144384,140256,143234,146880,147103
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,5891,5760,5514,5728
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,780,1542,1522,1300,2106,54336,60292,3164,2927,3088
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,OT,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,5,Everett Transit(ET),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,DR,DO,Operating,11861,13428,14736,13842,14481,15184,15352,17088,21432,22896,22936,23549,33287,36754,36869,39854,43644,45292,42802,43791,47681,44668,47134,46640,47312,48123,48920
2017,5,5,Everett Transit(ET),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,1010,3059393,Existing 2017,MB,DO,Operating,83070,86364,90025,90313,88997,84927,76335,76624,76896,83700,83712,88288,83568,56921,90380,100720,105588,111729,117697,129830,121353,112452,99873,99491,100405,103589,105656
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,129534,Existing 2017,CB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,2540,4792,4830,4961
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,129534,Existing 2017,DR,PT,Operating,21033,21816,20017,28166,17651,14210,16019,19202,13723,18564,19084,18331,15875,39496,33889,22972,20507,41279,47867,40994,40256,38548,36346,33485,32212,33565,31125
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,129534,Existing 2017,MB,DO,Operating,46964,58344,60930,60372,46617,44841,44452,44375,43736,42196,45016,45734,63199,47690,50340,52301,54500,56249,51421,54850,59765,54233,54641,49480,49570,54491,52074
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,129534,Existing 2017,VP,DO,Operating,,,,,,,,,,,,1550,4800,6240,7084,6963,8858,11731,10664,12116,13779,12795,11121,8641,7702,6478,6241
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,247421,Existing 2017,DR,PT,Operating,11987,15019,25223,26907,28207,31875,33650,35071,39484,43857,49457,47541,48581,50618,49189,65128,73070,82646,87091,98764,108627,114341,117776,118873,122148,122715,111601
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,247421,Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,26087,28355,29349,31941,58219,88140,115495,118461
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,247421,Existing 2017,MB,DO,Operating,209516,211660,227118,238083,244778,248365,257821,262223,267986,274939,273102,262242,237949,276207,263537,259985,279688,286226,286654,279241,220633,212152,211801,211663,216150,228088,241676
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,247421,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,2662,2866,2944,2968,2926,2938,2943,3123,3426
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,247421,Existing 2017,RB,DO,Operating,,,,,,,,,,,,,,,,,,,,,25923,35328,35502,35625,35780,36609,37929
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,247421,Existing 2017,VP,PT,Operating,,,,,,,,,,,,,,,418,1651,1557,3850,4864,5497,5321,4313,5620,7817,9246,8885,8625
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,CR,PT,Discontinued,,,,,,,,,,,,,,,,,,,2057,7495,0,0,,0,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,DR,DO,Discontinued,,,,,3012,13436,15533,15741,12588,,,,,,,,,,,,0,0,,0,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,DR,PT,Operating,151254,140588,164955,201685,221587,243353,248041,293295,304509,327986,344806,366319,395283,405534,438290,465037,533885,553547,542062,484400,476288,472968,468659,475234,470444,487856,482017
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,36288,35980,37035,34508,37184,40643,50665,49108
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,LR,DO,Operating,93169,95558,100334,102326,103655,106589,105536,119631,258534,291964,286115,337073,351764,356708,415713,408715,428990,454612,490872,566283,533157,529180,528133,528900,535005,616337,623791
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,MB,DO,Operating,1415086,1456550,1507629,1570974,1614098,1672031,1665120,1708297,1771241,1845004,1856166,1879205,1882890,1887608,1873568,1800848,1830709,1843670,1878880,1778961,1636603,1625650,1620908,1670498,1752236,1837409,1885784
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,MB,PT,Discontinued,6604,7936,8686,13373,11451,,,,,,,,,,,,,,,,0,0,,0,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,SR,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,35241,0,,0,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,SR,PT,Separate,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,1849898,Existing 2017,YR,PT,Operating,,,,,,,,,,,,,,,,,,,,,6587,7528,7470,7531,7470,7550,7458
2017,9,0T09,Kalispel Tribe of Indians(KTI),Active,Reduced Reporter,Usk,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,5,,,,,,1443,5055,5247
2017,9,0T09,Kalispel Tribe of Indians(KTI),Active,Reduced Reporter,Usk,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,1068,3723,2717,6570,3240,4126,4106,3374,3943
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,1537,1553,2779,4834,3724,3475,3418
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,3838,4960,4932,4427,3552,2616,2003
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,6841,,,,,,,
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,349684,Existing 2017,DR,DO,Operating,2808,3846,6209,6910,8398,10123,10309,10194,11333,11920,12386,13384,14743,15546,14436,15304,15434,22293,20530,25557,27801,27735,27657,29243,24771,25626,26986
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,349684,Existing 2017,DR,PT,Discontinued,,,,,,,,,,,,,253,861,1679,1879,2094,2031,1974,1693,0,0,,0,,,
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,349684,Existing 2017,MB,DO,Operating,44982,46294,49940,58605,67439,65789,66715,66063,65377,69001,71595,73551,75027,68438,65660,67113,66429,66989,66875,70673,86473,89728,88998,92320,95614,98453,104699
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,349684,Existing 2017,MB,PT,Discontinued,,,,,,,,,,,,,5481,10538,19002,20768,20909,23637,23695,19814,0,0,,0,,,
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,251243,Existing 2017,DR,PT,Operating,26377,27186,29751,29789,23050,27858,33133,54954,57707,58033,66135,68313,70143,68534,63002,66881,80396,82237,82333,84492,99867,94515,84350,79122,81378,80864,76917
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,251243,Existing 2017,MB,DO,Operating,106505,105296,104252,104527,104915,105569,107315,123220,122169,118862,124412,128394,134639,146240,154080,151080,156288,158910,157572,152547,153155,152517,153255,155956,158040,156031,150539
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,251243,New in 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,5470
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,251243,Existing 2017,VP,PT,Operating,,,,,,5683,5661,5688,6656,8975,9869,9863,14240,15318,15300,,,,,,0,0,0,0,,27057,27952
2016,13,TR27-001,Orutsararmiut Native Council,Inactive,Reduced Reporter,,AK,2010,,,,,Pre 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,14,0T14,Sitka Tribe of Alaska(STA),Active,Reduced Reporter,Sitka,AK,2010,Alaska Non-UZA,0,0,0,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,6578,9126,,10023,10023,10842,10023,9945,3315,3315,9594
2017,15,0T15,Snoqualmie Indian Tribe,Active,Reduced Reporter,Snoqualmie,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,1028,3399,3966,7779,8668,11682,,,4389,2802,1960
2017,16,16,RiverCities Transit(RCT),Active,Full Reporter,Longview,WA,2010,"Longview, WA-OR",431,33,63952,Existing 2017,DR,PT,Operating,6588,8938,10546,12748,,,11157,10685,12320,10661,11527,13091,13025,13475,14015,15548,15355,15641,17147,20169,21490,20881,20981,19930,18429,21307,22600
2017,16,16,RiverCities Transit(RCT),Active,Full Reporter,Longview,WA,2010,"Longview, WA-OR",431,33,63952,Existing 2017,MB,DO,Operating,17692,17766,18006,19386,,,19368,20136,22482,13804,16564,16855,16860,16940,16852,16791,16855,16920,16588,16538,17646,17651,22779,28695,27968,28112,26372
2017,16,16,RiverCities Transit(RCT),Active,Full Reporter,Longview,WA,2010,"Longview, WA-OR",431,33,63952,Existing 2017,VP,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,82,10
2017,17,0T17,Stillaguamish Tribe of Indians,Active,Reduced Reporter,Arlington,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,4754,5836,3558,3334,3333,3260,3189,3169,2634
2017,17,0T17,Stillaguamish Tribe of Indians,Active,Reduced Reporter,Arlington,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,VP,DO,Operating,,,,,,,,,,,,,,,,,,,,1148,2780,2243,3302,3598,4119,3529,3652
